Name,State,Population rank (core city),Population rank (Primary Statistical Area),Distance to closest larger American city (KM),Power,Population Primary Statistical Area,Population PSAPower,Rolling population total,"Politics 1 for Democrat, -1 for Republican, 2 for swing",Governor party D+ R-,Highest-ranked university ranking (US News) (200=0),GDP per capita of State,Closest National Park (KM),Distance from a foreign country (KM),Score,"If part of a larger city's transportation, city name",Closest City Name,Closest City Rank,Region,Current AMTRAK service?,Score Rank,Population PSA Rank,Number of Routes,Number of trains,Missing railroad?,Note,Longitude,Latitude,wrong
New York,New York,1,1,20000,20000,23362099,467241980000,23362099,1,1,4,59414,557,433,805,,,,Northeast,yes,1,1,7,,,,40.7,-74,74
Los Angeles,California,2,2,4000,2000,18238998,72955992000,41601097,1,1,24,51374,215,195,705,,New York,1,Southwest,yes,2,2,5,,,,34,-118.25,118.25
Chicago,Illinois,3,3,1200,400,9899902,11879882400,51500999,1,1,4,50058,510,577,712,,New York,1,Midwest,yes,3,3,14,,,,42,-87.75,87.75
Washington/Baltimore,DC,24,4,370,92.5,9331587,3452687190,60832586,1,1,21,156367,100,464,1759,,New York,1,Mid-Atlantic,yes,7,9,5,,,,39,-77,77
San Jose/San Francisco,California,10,5,500,100,8370967,4185483500,69203553,1,1,200,51374,200,690,529,,Los Angeles,2,Southwest,yes,6,8,2,,,,37.75,-122.5,122.5
Boston,Massachusetts,21,6,340,56.67,7991371,2717066140,77194924,1,1,51,57332,300,300,738,,New York,1,Northeast,yes,11,11,5,,,,42.5,-71,71
Philadelphia,Pennsylvania,5,7,150,21.43,7129428,1069414200,84324352,2,1,8,45170,,,#DIV/0!,,Baltimore/Washington,4,Northeast,yes,17,18,7,,,,40,-75,75
Dallas (Fort Worth),Texas,9,8,1300,162.5,6700991,8711288300,91025343,-1,-1,58,47027,388,560,598,,Los Angeles,2,South,yes,4,4,7,,,,32.75,-96.75,96.75
Miami,Florida,44,9,1000,111.11,6375434,6375434000,97400777,2,-1,44,39563,1,90,667,,Atlanta,10,South,yes,5,5,2,,,,25.75,-80.25,80.25
Houston,Texas,4,10,370,37,6177035,2285502950,103577812,-1,-1,17,47027,,,#DIV/0!,,Dallas,7,South,yes,13,13,4,,,,29.75,-95.5,95.5
Atlanta,Georgia,40,11,900,81.82,6092295,5483065500,109670107,-1,-1,20,41223,190,920,578,,Baltimore/Washington,4,South,yes,9,6,6,,,,33.75,-84.5,84.5
Detroit,Michigan,18,12,370,30.83,5311449,1965236130,114981556,1,1,200,37708,,,#DIV/0!,,Chicago,3,Midwest,yes,15,14,2,,,,42.5,-83,83
Seattle,Washington,22,13,1131,87,4399332,4975644492,119380888,1,1,46,45135,60,100,622,,Los Angeles,2,Northwest,yes,8,7,6,,,,47.5,-122.25,122.25
Phoenix,Arizona,6,14,550,39.29,4329534,2381243700,123710422,-1,-1,139,40305,,,#DIV/0!,,Los Angeles,2,Southwest,yes,12,12,2,,,,33.5,-112,112
Minneapolis,Minnesota,48,15,500,33.33,3759978,1879989000,127470400,1,1,68,49972,,,#DIV/0!,,Chicago,3,Midwest,yes,14,15,6,,,,45,-93.25,93.25
