Larger City,Second City,Population City 1,Population City 2,Population,Distance (km),Estimated Cost,Cost per person,Cost per person per km
Mexico City,Acapulco,,,21000000,380,"$7,600,000,000.00",$361.90,$0.95
Boston,Albany,7991371,,9000000,273,"$5,460,000,000.00",$606.67,$2.22
New York,Albany,23362099,,25000000,245,"$4,900,000,000.00",$196.00,$0.80
Rochester,Albany,,,2900000,365,"$7,300,000,000.00","$2,517.24",$6.90
Denver,Albuquerque,,,4300000,723,"$14,460,000,000.00","$3,362.79",$4.65
Dallas,Austin,,,8500000,314,"$6,280,000,000.00",$738.82,$2.35
San Antonio,Austin,,,4000000,128,"$2,560,000,000.00",$640.00,$5.00
Atlanta,Birmingham,6092295,,7400000,236,"$4,720,000,000.00",$637.84,$2.70
Memphis,Birmingham,,,2700000,384,"$7,680,000,000.00","$2,844.44",$7.41
New Orleans,Birmingham,,,2700000,553,"$11,060,000,000.00","$4,096.30",$7.41
Cleveland,Buffalo,,,4900000,305,"$6,100,000,000.00","$1,244.90",$4.08
New York,Buffalo,23362099,,23000000,612,"$12,240,000,000.00",$532.17,$0.87
Toronto,Buffalo,,,7100000,160,"$3,200,000,000.00",$450.70,$2.82
Sarasota,Cape Coral,,,1800000,130,"$2,600,000,000.00","$1,444.44",$11.11
Atlanta,Chattanooga,6092295,936142,7000000,189,"$3,780,000,000.00",$540.00,$2.86
Nashville,Chattanooga,,,3200000,215,"$4,300,000,000.00","$1,343.75",$6.25
Dayton,Cincinnati,,,3000000,87,"$1,740,000,000.00",$580.00,$6.67
Indianapolis,Cincinnati,,,4100000,175,"$3,500,000,000.00",$853.66,$4.88
Chicago,Cleveland,9899902,,13000000,470,"$9,400,000,000.00",$723.08,$1.54
Detroit,Cleveland,,,8800000,279,"$5,580,000,000.00",$634.09,$2.27
Greenville,Columbia,,,2000000,166,"$3,320,000,000.00","$1,660.00",$10.00
Dayton,"Columbus, Ohio",,,3000000,114,"$2,280,000,000.00",$760.00,$6.67
Pittsburgh,"Columbus, Ohio",,,5000000,297,"$5,940,000,000.00","$1,188.00",$4.00
Indianapolis,Dayton,,,3300000,187,"$3,740,000,000.00","$1,133.33",$6.06
Calgary,Edmonton,,,2700000,300,"$6,000,000,000.00","$2,222.22",$7.41
Albuquerque,El Paso,1162777,,2200000,431,"$8,620,000,000.00","$3,918.18",$9.09
Dallas,El Paso,,,7000000,1022,"$20,440,000,000.00","$2,920.00",$2.86
Tucson,El Paso,,,2000000,510,"$10,200,000,000.00","$5,100.00",$10.00
Los Angeles,Fresno,18238998,,20000000,355,"$7,100,000,000.00",$355.00,$1.00
Sacramento,Fresno,,,2500000,282,"$5,640,000,000.00","$2,256.00",$8.00
Chicago,Grand Rapids,9899902,,11000000,286,"$5,720,000,000.00",$520.00,$1.82
Detroit,Grand Rapids,,,6700000,253,"$5,060,000,000.00",$755.22,$2.99
Charlotte,Greensboro,2454619,,4000000,148,"$2,960,000,000.00",$740.00,$5.00
Raleigh,Greensboro,,,3600000,123,"$2,460,000,000.00",$683.33,$5.56
Atlanta,Greenville,6092295,,7400000,234,"$4,680,000,000.00",$632.43,$2.70
Charlotte,Greenville,2454619,,3900000,163,"$3,260,000,000.00",$835.90,$5.13
Mexico City,Guadalajara,,,24500000,540,"$10,800,000,000.00",$440.82,$0.82
Philadelphia,Harrisburg,7991371,,8300000,172,"$3,440,000,000.00",$414.46,$2.41
Pittsburgh,Harrisburg,,,3800000,328,"$6,560,000,000.00","$1,726.32",$5.26
