"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AT001","Vienna","POP","Total population of the metropolitan area (persons)","2000","2000","PER","Persons","0","Units",,,2430340,,
"AT001","Vienna","POP","Total population of the metropolitan area (persons)","2001","2001","PER","Persons","0","Units",,,2454241,,
"AT001","Vienna","POP","Total population of the metropolitan area (persons)","2002","2002","PER","Persons","0","Units",,,2478438,,
"AT001","Vienna","POP","Total population of the metropolitan area (persons)","2003","2003","PER","Persons","0","Units",,,2502947,,
"AT001","Vienna","POP","Total population of the metropolitan area (persons)","2004","2004","PER","Persons","0","Units",,,2527748,,
"AT001","Vienna","POP","Total population of the metropolitan area (persons)","2005","2005","PER","Persons","0","Units",,,2552870,,
"AT001","Vienna","POP","Total population of the metropolitan area (persons)","2006","2006","PER","Persons","0","Units",,,2578282,,
"AT001","Vienna","POP","Total population of the metropolitan area (persons)","2007","2007","PER","Persons","0","Units",,,2604039,,
"AT001","Vienna","POP","Total population of the metropolitan area (persons)","2008","2008","PER","Persons","0","Units",,,2630118,,
"AT001","Vienna","POP","Total population of the metropolitan area (persons)","2009","2009","PER","Persons","0","Units",,,2656523,,
"AT001","Vienna","POP","Total population of the metropolitan area (persons)","2010","2010","PER","Persons","0","Units",,,2683251,,
"AT001","Vienna","POP","Total population of the metropolitan area (persons)","2011","2011","PER","Persons","0","Units",,,2710331,,
"AT001","Vienna","POP","Total population of the metropolitan area (persons)","2012","2012","PER","Persons","0","Units",,,2737753,,
"AT001","Vienna","POP","Total population of the metropolitan area (persons)","2013","2013","PER","Persons","0","Units",,,2765519,,
"AT001","Vienna","POP","Total population of the metropolitan area (persons)","2014","2014","PER","Persons","0","Units",,,2793631,,
"AT001","Vienna","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2000","2000","PC","Percentage","0","Units",,,30.37,,
