Name,Province,Country,Continent,Population rank (core city),Population rank (Primary Statistical Area),Distance to closest larger Chinese Metropolitan Area (KM),Power,Population MetropolitanArea,Population MetroPower,Rolling population total,Rolling % of Population Total,GDP per capita of Province,Distance from a foreign country (KM),Country population,Percent of country's population,Score,"If part of a larger city's transportation, city name",Closest City Name,Closest City Rank,Largest in Province?,Latitude,Longitude
Kabul,,Afghanistan,Asia,,,,,"3,289,000",,"3,289,000",0.08%,,,29742000,,,,,,,34.5,69.15
Kandahar,,Afghanistan,Asia,,,,,"491,500",,"3,289,000",0.08%,,,29742000,,,,,,,31.6,65.7
Algiers,,Algeria,Africa,,,,,"2,594,000",,#REF!,#REF!,,,41697000,,,,,,,37,3
Luanda,,Angola,Africa,,,,,"5,506,000",,,,,,28359000,,,,,,,-9,13
Huambo,,Angola,Africa,,,,,"1,269,000",,,,,,28359000,,,,,,,-13,16
Buenos Aires,,Argentina,South America,,,,,"13,693,657",,,,,,44044000,,,,,,,-34.6,-58.4
Córdoba,,Argentina,South America,,,,,"1,519,000",,,,,,44044000,,,,,,,-31.4,-64.2
Rosario,,Argentina,South America,,,,,"1,429,000",,,,,,44044000,,,,,,,-32.9,-60.65
Mendoza,,Argentina,South America,,,,,"1,082,000",,,,,,44044000,,,,,,,-32.9,-68.85
Yerevan,,Armenia,Asia,,,,,"1,060,138",,"30,873,157",0.74%,,,2979600,,,,,,,40.2,44.5
Sydney,New South Wales,Australia,Oceania,,,,,"5,005,358",,,,,,24742500,,,,,,,-33.9,151
Melbourne,Victoria,Australia,Oceania,,,,,"4,641,636",,,,,,24742500,,,,,,,-37.8,145
Brisbane,Queensland,Australia,Oceania,,,,,"2,349,699",,,,,,24742500,,,,,,,-27.5,153
Perth,Western Australia,Australia,Oceania,,,,,"2,066,564",,,,,,24742500,,,,,,,-31.9,116
Adelaide,South Australia,Australia,Oceania,,,,,"1,326,354",,,,,,24742500,,,,,,,-34.9,139
Gold Coast–Tweed Heads,Queensland/New South Wales,Australia,Oceania,,,,,"638,090",,,,,,24742500,,,,,,,-28,153
Newcastle–Maitland,New South Wales,Australia,Oceania,,,,,"438,775",,,,,,24742500,,,,,,,-32.9,152
Canberra–Queanbeyan,Australian Capital Territory/New South Wales,Australia,Oceania,,,,,"429,023",,,,,,24742500,,,,,,,-35.25,149
Sunshine Coast,Queensland,Australia,Oceania,,,,,"307,501",,,,,,24742500,,,,,,,-26.66666667,153
Wollongong,New South Wales,Australia,Oceania,,,,,"295,842",,,,,,24742500,,,,,,,-34.4,151
Hobart,Tasmania,Australia,Oceania,,,,,"222,802",,,,,,24742500,,,,,,,-42.9,148
Geelong,Victoria,Australia,Oceania,,,,,"191,440",,,,,,24742500,,,,,,,-38.15,144
