CSA,CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,NPOPCHG2010,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,NPOPCHG2015,NPOPCHG2016,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016
104,,,,"Albany-Schenectady, NY",Combined Statistical Area,1168485,1168506,1168873,1169842,1171541,1172902,1173004,1172709,1172299,367,969,1699,1361,102,-295,-410,3098,12055,12028,12106,11965,11888,11869,2506,10782,10747,10966,10653,10841,11171,592,1273,1281,1140,1312,1047,698,576,2483,2765,2571,2839,2979,2872,-750,-2622,-2279,-2223,-3522,-3754,-3432,-174,-139,486,348,-683,-775,-560,-51,-165,-68,-127,-527,-567,-548
104,10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,870716,870692,871103,873214,875637,878401,879775,880803,881839,411,2111,2423,2764,1374,1028,1036,2376,9103,9116,9196,9172,9102,9158,1791,7626,7651,7766,7551,7768,8058,585,1477,1465,1430,1621,1334,1100,542,2263,2530,2359,2569,2699,2595,-694,-1508,-1514,-838,-2436,-2560,-2197,-152,755,1016,1521,133,139,398,-22,-121,-58,-187,-380,-445,-462
104,10580,,36001,"Albany County, NY",County or equivalent,304204,304208,304078,305019,306384,307496,308295,308432,308846,-130,941,1365,1112,799,137,414,786,3094,3124,3193,3169,3118,3107,562,2688,2801,2655,2619,2640,2760,224,406,323,538,550,478,347,282,1290,1217,1185,1322,1358,1327,-632,-719,-125,-523,-884,-1430,-1057,-350,571,1092,662,438,-72,270,-4,-36,-50,-88,-189,-269,-203
104,10580,,36083,"Rensselaer County, NY",County or equivalent,159429,159406,159347,159694,159669,159862,160092,160101,160070,-59,347,-25,193,230,9,-31,428,1716,1677,1665,1731,1657,1683,417,1482,1456,1549,1469,1500,1588,11,234,221,116,262,157,95,74,322,393,382,417,431,429,-142,-130,-649,-325,-344,-588,-467,-68,192,-256,57,73,-157,-38,-2,-79,10,20,-105,9,-88
104,10580,,36091,"Saratoga County, NY",County or equivalent,219607,219613,220094,221166,222553,224207,224692,226140,227053,481,1072,1387,1654,485,1448,913,629,2169,2193,2250,2242,2260,2251,368,1675,1628,1723,1678,1824,1931,261,494,565,527,564,436,320,90,265,493,399,398,461,397,136,375,353,723,-445,597,283,226,640,846,1122,-47,1058,680,-6,-62,-24,5,-32,-46,-87
104,10580,,36093,"Schenectady County, NY",County or equivalent,154727,154721,154896,154673,154945,154964,155006,154758,154553,175,-223,272,19,42,-248,-205,451,1825,1856,1838,1759,1813,1853,356,1515,1514,1562,1495,1523,1491,95,310,342,276,264,290,362,94,370,397,361,400,415,408,-10,-967,-459,-559,-541,-883,-877,84,-597,-62,-198,-141,-468,-469,-4,64,-8,-59,-81,-70,-98
104,10580,,36095,"Schoharie County, NY",County or equivalent,32749,32744,32688,32662,32086,31872,31690,31372,31317,-56,-26,-576,-214,-182,-318,-55,82,299,266,250,271,254,264,88,266,252,277,290,281,288,-6,33,14,-27,-19,-27,-24,2,16,30,32,32,34,34,-46,-67,-634,-154,-222,-256,-79,-44,-51,-604,-122,-190,-222,-45,-6,-8,14,-65,27,-69,14
104,11220,,,"Amsterdam, NY",Micropolitan Statistical Area,50219,50257,50286,49932,49848,49789,49747,49673,49276,29,-354,-84,-59,-42,-74,-397,148,566,554,591,607,623,608,110,594,565,627,580,547,556,38,-28,-11,-36,27,76,52,12,85,102,88,117,119,118,-10,-386,-176,-149,-171,-251,-560,2,-301,-74,-61,-54,-132,-442,-11,-25,1,38,-15,-18,-7
104,11220,,36057,"Montgomery County, NY",County or equivalent,50219,50257,50286,49932,49848,49789,49747,49673,49276,29,-354,-84,-59,-42,-74,-397,148,566,554,591,607,623,608,110,594,565,627,580,547,556,38,-28,-11,-36,27,76,52,12,85,102,88,117,119,118,-10,-386,-176,-149,-171,-251,-560,2,-301,-74,-61,-54,-132,-442,-11,-25,1,38,-15,-18,-7
104,24020,,,"Glens Falls, NY",Metropolitan Statistical Area,128923,128942,128999,128806,128484,127922,127324,126782,126367,57,-193,-322,-562,-598,-542,-415,284,1255,1268,1221,1150,1158,1123,299,1261,1264,1248,1275,1316,1321,-15,-6,4,-27,-125,-158,-198,7,46,48,48,56,61,59,69,-183,-372,-570,-459,-418,-281,76,-137,-324,-522,-403,-357,-222,-4,-50,-2,-13,-70,-27,5
