Name,Province,Country,Continent,Population rank (core city),Population rank (Primary Statistical Area),Distance to closest larger Chinese Metropolitan Area (KM),Power,Population,Population MetroPower,Rolling population total,Rolling % of Population Total,GDP per capita of Province,Distance from a foreign country (KM),Score,"If part of a larger city's transportation, city name",Closest City Name,Closest City Rank,Largest in Province?,Latitude,Longitude
Guangzhou,Guangdong,China,Asia,,1,40000,40000,44294245,1771769800000,254750141,6.12%,,,,,,,Yes,23.18333333,113.5
Shanghai,Shanghai,China,Asia,,2,1230,615,35965403,44237445690,583581873,14.01%,,,,,Guangzhou,1,Yes,31,122
Chongqing,Chongqing,China,Asia,,3,1000,333.33,30165500,30165500000,473213144,11.36%,,,,,Guangzhou,1,Yes,29.5,106.4
Seoul,,South Korea,Asia,,,,,25514000,,803906848,19.30%,,,,,,,,37.6,126.9
Karachi,Sindh,Pakistan,Asia,,,,,24300000,,331393487,7.96%,,,,,,,,24.9,67
Beijing,Beijing,China,Asia,,6,1100,183.33,21500000,23650000000,892314312,21.43%,,,,,Shanghai,2,Yes,40,116.5
Hangzhou,Zhejiang,China,Asia,,7,200,28.57,21102000,4220400000,504066829,12.10%,,,,,Shanghai,2,Yes,30.25,120.25
Wuhan,Hubei,China,Asia,,8,560,70,19780644,11077160640,523847473,12.58%,,,,,Hangzhou,5,Yes,30.5,114.3333
Dhaka,Dhaka,Bangladesh,Asia,,,,,18898000,,291088476,6.99%,,,,,,,,23.8,90.4
Mumbai,Maharashtra,India,Asia,,,,,18394912,,116650032,2.80%,,,,,,,,19,72.8
Chengdu,Sichuan,China,Asia,,11,270,24.55,18000000,4860000000,543073266,13.04%,,,,,Chongqing,3,Yes,30.66667,104
Delhi,Delhi,India,Asia,,,,,16349831,,427435260,10.26%,,,,,,,,28.6,77.2
Tianjin,Tianjin,China,Asia,,13,130,10,16000000,2080000000,856469724,20.57%,,,,,Beijing,4,Yes,39,117
Shenzhen,Guangdong,China,Asia,,14,100,7.14,14668426,1466842600,180584181,4.34%,,,,,Guangzhou,,,22.5,114
Bangkok,,Thailand,Asia,,,,,14565547,,73400642,1.76%,,,,,,,,13.75,100.5
İstanbul,,Turkey,Asia/Europe,,,,,14377018,,929649372,22.32%,,,,,,,,41,28.95
Kolkata,West Bengal,India,Asia,,,,,14057991,,194642172,4.67%,,,,,,,,22.55,88.4
Xi'an,Shaanxi,China,Asia,,18,560,31.11,13569700,7599032000,685598313,16.46%,,,,,Chongqing,,Yes,34.25,108.75
Jinan,Shandong,China,Asia,,19,275,14.47,13000000,3575000000,756313705,18.16%,,,,,Tianjin,,Yes,36.5,117.1
Nanjing,Jiangsu,China,Asia,,20,270,13.5,12652000,3416040000,632232714,15.18%,,,,,Shanghai,,Yes,32,119
Shenyang,Liaoning,China,Asia,,21,600,28.57,12263612,7358167200,955717730,22.95%,,,,,Tianjin,,Yes,41.75,123.5
London,,United Kingdom,Europe,,,,,12200000,,1049145277,25.19%,,,,,,,,51.5,0
Harbin,Heilongjiang,China,Asia,,23,530,23.04,12000000,6360000000,1001599801,24.05%,,,,,Shenyang,,Yes,45.9,126.5
Paris,,France,Europe,,,,,11800000,,1023715277,24.58%,,,,,,,,48.9,2.25
