Name,Province,Country,Continent,Population rank (core city),Population rank (Primary Statistical Area),Distance to closest larger Chinese Metropolitan Area (KM),Power,Population,Population MetroPower,Rolling population total,Rolling % of Population Total,GDP per capita of Province,Distance from a foreign country (KM),Score,"If part of a larger city's transportation, city name",Closest City Name,Closest City Rank,Largest in Province?,Latitude,Longitude
Guangzhou,Guangdong,China,Asia,,1,40000,40000,44294245,1771769800000,#REF!,#REF!,,,,,,,Yes,23.18333333,113.5
Shanghai,Shanghai,China,Asia,,2,1230,615,35965403,44237445690,44294245,1.06%,,,,,Guangzhou,1,Yes,31,122
Chongqing,Chongqing,China,Asia,,3,1000,333.33,30165500,30165500000,80259648,1.93%,,,,,Guangzhou,1,Yes,29.5,106.4
Seoul,,South Korea,Asia,,,,,25514000,,110425148,2.65%,,,,,,,,37.6,126.9
Karachi,Sindh,Pakistan,Asia,,,,,24300000,,135939148,3.26%,,,,,,,,24.9,67
Beijing,Beijing,China,Asia,,6,1100,183.33,21500000,23650000000,135939148,3.26%,,,,,Shanghai,2,Yes,40,116.5
Hangzhou,Zhejiang,China,Asia,,7,200,28.57,21102000,4220400000,181739148,4.36%,,,,,Shanghai,2,Yes,30.25,120.25
Wuhan,Hubei,China,Asia,,8,560,70,19780644,11077160640,202841148,4.87%,,,,,Hangzhou,5,Yes,30.5,114.3333
Dhaka,Dhaka,Bangladesh,Asia,,,,,18898000,,222621792,5.35%,,,,,,,,23.8,90.4
Mumbai,Maharashtra,India,Asia,,,,,18394912,,241519792,5.80%,,,,,,,,19,72.8
Chengdu,Sichuan,China,Asia,,11,270,24.55,18000000,4860000000,259914704,6.24%,,,,,Chongqing,3,Yes,30.66667,104
Delhi,Delhi,India,Asia,,,,,16349831,,277914704,6.67%,,,,,,,,28.6,77.2
Tianjin,Tianjin,China,Asia,,13,130,10,16000000,2080000000,294264535,7.07%,,,,,Beijing,4,Yes,39,117
Shenzhen,Guangdong,China,Asia,,14,100,7.14,14668426,1466842600,310264535,7.45%,,,,,Guangzhou,,,22.5,114
Bangkok,,Thailand,Asia,,,,,14565547,,324932961,7.80%,,,,,,,,13.75,100.5
İstanbul,,Turkey,Asia/Europe,,,,,14377018,,339498508,8.15%,,,,,,,,41,28.95
Kolkata,West Bengal,India,Asia,,,,,14057991,,353875526,8.50%,,,,,,,,22.55,88.4
Xi'an,Shaanxi,China,Asia,,18,560,31.11,13569700,7599032000,367933517,8.84%,,,,,Chongqing,,Yes,34.25,108.75
Jinan,Shandong,China,Asia,,19,275,14.47,13000000,3575000000,381503217,9.16%,,,,,Tianjin,,Yes,36.5,117.1
Nanjing,Jiangsu,China,Asia,,20,270,13.5,12652000,3416040000,394503217,9.47%,,,,,Shanghai,,Yes,32,119
Shenyang,Liaoning,China,Asia,,21,600,28.57,12263612,7358167200,407155217,9.78%,,,,,Tianjin,,Yes,41.75,123.5
London,,United Kingdom,Europe,,,,,12200000,,419418829,10.07%,,,,,,,,51.5,0
Harbin,Heilongjiang,China,Asia,,23,530,23.04,12000000,6360000000,394503217,9.47%,,,,,Shenyang,,Yes,45.9,126.5
Paris,,France,Europe,,,,,11800000,,443618829,10.65%,,,,,,,,48.9,2.25
Shantou,Guangdong,China,Asia,,25,340,13.6,11630447,3954351980,455418829,10.94%,,,,,Shenzhen,,,23.3333,116.75
Moscow,Moscow,Russia,Europe,,,,,11503501,,467049276,11.22%,,,,,,,,55.75,37.6
Ruhr,NordRhein Westfalen,Germany,Europe,,,,,11300000,,478552777,11.49%,,,,,,,,51.5,7.4
Lahore,Punjab,Pakistan,Asia,,,,,10052000,,489852777,11.76%,,,,,,,,31.5,74.3
Ganzhou,Jiangxi,China,Asia,,29,375,12.93,9606300,3602362500,499904777,12.00%,,,,,Guangzhou,,Yes,25.8,114.9
Wenzhou,Zhejiang,China,Asia,,30,270,9,9122102,2462967540,509511077,12.24%,,,,,Hangzhou,,,28,120.6666
Qingdao,Shandong,China,Asia,,31,300,9.68,9046200,2713860000,518633179,12.45%,,,,,Jinan,,,36,120.5
Chennai,Tamil Nadu,India,Asia,,,,,8653521,,527679379,12.67%,,,,,,,,13.1,80.25
Bangalore,Karnataka,India,Asia,,,,,8520435,,536332900,12.88%,,,,,,,,13,77.6
Ho Chi Minh City,,Vietnam,Asia,,,,,8244400,,544853335,13.08%,,,,,,,,10.75,106.6666
Tehran,Tehran,Iran,Asia,,,,,8154051,,553097735,13.28%,,,,,,,,35.7,51.4
Quanzhou,Fujian,China,Asia,,36,330,9.17,8128533,2682415890,561251786,13.48%,,,,,Shantou,,Yes,24.9,118.75
Hyderabad,Telangana,India,Asia,,,,,7677018,,569380319,13.67%,,,,,,,,17.6,78.8
Ha Noi,,Vietnam,Asia,,,,,7379300,,577057337,13.86%,,,,,,,,21,105.85
Hong Kong,Hong Kong,China,Asia,,39,48,1.23,7374900,353995200,584436637,14.03%,,,,,Shenzhen,,Yes,22.33333,114
Changsha,Hunan,China,Asia,,40,560,14,7311500,4094440000,591811537,14.21%,,,,,Guangzhou,,Yes,28.25,113
Kuala Lumpur,,Malaysia,Asia,,,,,7200000,,599123037,14.39%,,,,,,,,3.1,101.7
Madrid,,Spain,Europe,,,,,6600000,,606323037,14.56%,,,,,,,,40.33333,-3.85
Berlin,Berlin,Germany,Europe,,,,,6563194,,612923037,14.72%,,,,,,,,52.5,13.3333
Riyadh,,Saudi Arabia,Asia,,,,,6506700,,619486231,14.88%,,,,,,,,24.6,46.7
Ahmedabad,Gujarat,India,Asia,,,,,6357693,,625992931,15.03%,,,,,,,,23,73
Singapore,,Singapore,Asia,,,,,5607300,,632350624,15.19%,,,,,,,,1.3,103.8
Barcelona,,Spain,Europe,,,,,5355000,,637957924,15.32%,,,,,,,,41.25,2.1
Milano,,Italy,Europe,,,,,5257000,,643312924,15.45%,,,,,,,,45.4,9.2
Yangon (Rangoon),Yangon Region,Burma,Asia,,,,,5209541,,648569924,15.57%,,,,,,,,16.9,96.2
Ankara,,Turkey,Asia,,,,,5152072,,653779465,15.70%,,,,,,,,39.9,32.85
Pune,Maharashtra,India,Asia,,,,,5057709,,658931537,15.82%,,,,,,,,18.5,73.8
Saint Petersburg,Saint Petersburg,Russia,Europe,,,,,4879566,,663989246,15.94%,,,,,,,,59.95,30.3
Zhengzhou,Henan,China,Asia,,53,370,6.98,4867388,1800933560,668868812,16.06%,,,,,Jinan,,,34.75,113.6666
Islamabad,Islamabad,Pakistan,Asia,,,,,4700000,,673736200,16.18%,,,,,,,,33.75,73.1
Surat,Gujarat,India,Asia,,,,,4591246,,678436200,16.29%,,,,,,,,21.15,72.8
Fuzhou,Fujian,China,Asia,,56,200,3.57,4468076,893615200,683027446,16.40%,,,,,Quanzhou,,,26.1,119.2
